0	1	2
18	8	5
18	289	2
18	97	3
18	62	2
18	465	3
18	15	5
18	36	5
18	466	5
19	191	5
19	467	3
19	469	3
19	470	3
19	311	3
19	471	3
19	473	3
19	159	5
19	262	2
19	17	4
19	90	3
19	5	2
19	475	3
19	57	3
19	196	3
19	77	1
19	97	5
19	190	3
19	13	0
19	179	7
19	18	3
19	478	3
19	480	3
19	6	4
19	24	0
19	194	4
19	27	2
20	190	0
20	87	0
20	179	4
20	13	5
20	191	0
20	82	2
20	9	1
20	11	3
20	48	0
20	196	6
20	0	3
20	3	3
20	262	4
20	32	2
20	97	0
20	94	2
20	21	4
20	29	4
20	31	5
20	278	0
20	159	0
20	98	4
21	191	5
21	159	3
21	32	3
21	9	3
21	48	5
21	10	3
21	92	3
21	98	5
21	50	3
21	91	5
21	31	3
21	24	3
21	164	2
21	6	2
21	82	3
21	27	5
21	14	2
21	270	3
21	57	5
21	25	3
21	18	3
21	13	3
21	196	3
21	291	3
21	184	3
22	3	5
22	0	2
22	11	2
22	5	2
22	482	3
23	484	1
23	485	2
23	255	2
23	488	5
23	489	2
23	490	0
23	161	2
23	491	6
23	495	7
23	497	6
23	498	4
23	500	2
23	501	0
23	502	4
23	504	5
23	505	1
23	506	2
23	58	4
23	183	7
23	512	4
23	513	3
23	514	4
23	159	4
23	354	4
23	257	0
23	517	0
23	519	0
23	522	3
23	67	0
23	524	6
23	59	5
23	525	2
23	225	5
23	527	4
23	7	2
23	529	2
23	533	6
23	534	0
23	535	5
23	46	5
23	4	3
23	537	6
23	538	0
23	539	4
23	540	2
23	541	3
23	168	4
23	542	2
23	543	5
23	544	4
23	545	3
23	547	4
23	548	7
23	549	2
23	550	2
23	551	4
23	165	0
23	133	4
23	50	2
23	552	4
23	554	6
23	557	4
23	177	2
23	559	3
23	560	6
23	441	5
23	561	0
23	194	2
23	30	5
23	6	5
23	397	3
23	567	5
23	69	2
23	568	4
23	569	2
23	570	6
24	190	4
24	32	6
24	48	3
24	13	2
24	278	5
24	90	5
24	3	2
24	24	4
24	15	2
24	6	2
24	82	5
24	31	5
24	9	3
24	27	5
24	23	5
24	91	4
25	30	3
25	21	2
25	6	3
25	9	4
25	97	2
25	24	2
25	50	3
25	34	3
25	54	3
25	159	3
25	18	2
25	15	4
25	5	0
25	191	4
25	90	2
25	31	3
25	262	5
25	25	4
25	48	4
25	77	4
25	49	3
26	571	4
26	572	2
26	515	4
26	578	2
26	579	4
26	581	2
26	582	2
26	584	2
26	585	2
26	118	1
26	588	2
26	589	2
26	591	4
26	592	4
26	545	4
26	596	4
26	598	4
26	599	4
26	223	2
26	600	4
26	71	2
26	529	5
26	104	0
26	173	5
26	602	4
26	603	4
26	604	2
26	395	5
26	605	4
26	244	1
26	45	4
26	190	4
26	608	4
26	520	2
26	185	4
26	248	2
26	610	4
26	613	4
26	159	2
26	618	2
26	619	3
26	30	2
26	620	2
26	622	4
26	623	5
26	363	2
26	624	5
26	625	2
26	626	2
26	628	4
26	3	2
26	631	5
26	337	3
26	633	3
26	634	3
26	636	2
26	637	4
26	14	0
26	638	6
26	639	0
26	94	5
26	640	2
26	62	2
26	641	2
26	642	5
26	53	2
26	89	4
26	221	2
26	644	2
26	645	2
26	252	4
26	81	4
26	646	0
26	34	2
26	95	0
26	651	4
26	121	2
26	429	4
26	653	2
26	655	5
26	87	4
26	441	5
26	543	5
26	656	2
26	8	5
26	657	2
26	658	2
26	659	3
26	7	2
26	278	0
26	15	5
26	660	2
26	229	2
26	102	0
26	66	1
26	366	0
26	662	0
26	138	4
26	428	5
26	186	6
26	664	0
26	251	4
26	665	4
26	123	4
26	336	4
26	667	1
26	670	4
26	671	2
26	444	2
26	164	5
26	672	2
26	673	0
26	674	0
26	99	4
26	675	2
26	676	2
26	679	4
26	680	4
26	682	0
26	218	5
26	13	5
26	79	5
26	684	2
26	128	5
26	488	2
26	686	2
26	259	2
26	241	4
27	91	2
27	93	3
27	689	2
27	690	5
27	28	3
27	14	3
27	23	7
27	179	5
27	10	0
27	13	5
27	3	7
27	70	3
27	577	3
27	691	2
27	692	4
27	693	5
27	0	4
27	51	7
27	21	5
27	694	3
27	190	5
27	82	0
27	11	1
28	700	5
28	702	4
28	703	3
28	705	2
28	706	2
28	707	7
28	709	6
28	711	2
28	666	5
28	712	0
28	713	0
28	714	5
28	715	5
28	716	5
28	717	4
28	168	2
28	565	3
28	721	2
28	723	2
28	724	3
28	678	2
28	728	4
28	1	5
28	729	5
28	730	3
28	732	4
28	733	2
28	534	2
28	734	2
28	526	3
28	735	2
28	736	2
28	737	2
28	738	2
28	739	3
28	740	2
28	742	5
28	743	7
28	744	5
28	745	2
28	748	5
28	749	3
28	751	5
28	360	5
28	752	5
28	394	3
28	755	7
28	756	3
28	757	5
28	194	2
28	762	2
28	763	5
28	765	2
28	766	2
28	767	5
28	335	2
28	769	3
28	770	5
28	771	5
28	772	7
28	13	2
28	774	5
28	6	0
28	776	2
28	778	4
28	75	2
28	780	5
28	781	3
28	782	2
28	783	4
28	784	4
28	785	5
28	786	5
28	323	2
28	787	2
28	788	5
28	789	5
28	790	5
28	442	2
28	792	2
28	795	3
28	797	2
28	799	6
28	800	3
29	803	4
29	804	1
29	92	5
29	659	5
29	32	4
29	807	0
29	808	2
29	809	2
29	810	1
29	0	4
29	811	3
29	305	5
29	511	4
29	814	4
29	815	0
29	816	4
29	818	5
30	3	3
30	166	3
30	139	2
30	23	5
31	14	3
31	11	0
31	25	1
31	270	3
31	91	0
31	50	5
31	31	2
31	6	0
31	159	1
31	27	5
31	0	4
31	68	0
31	190	3
31	175	2
31	90	2
31	30	2
32	17	3
32	191	4
32	3	0
32	278	3
32	175	2
32	90	2
32	15	2
32	87	4
32	31	5
32	29	6
32	68	5
32	164	3
32	13	0
32	92	4
32	32	2
32	5	6
32	6	7
32	77	3
32	291	2
32	82	6
32	11	5
32	91	5
32	10	0
32	97	0
33	81	5
33	821	3
33	134	3
33	730	5
33	274	2
33	617	6
33	92	2
33	822	5
33	227	5
33	824	3
33	825	5
33	14	0
33	23	5
33	826	3
33	667	2
33	827	5
33	270	5
33	644	5
33	829	5
33	162	6
33	47	3
33	831	5
33	159	5
33	522	5
33	3	3
33	196	3
33	136	1
33	833	2
34	837	0
34	320	2
34	839	6
34	840	7
34	841	0
34	5	2
34	842	4
34	844	5
34	845	4
34	337	0
34	731	5
34	61	4
34	9	5
34	194	5
34	849	7
34	17	4
34	784	6
34	102	2
34	850	6
34	851	2
34	3	2
34	48	2
34	852	0
34	4	5
34	6	2
34	512	1
34	853	3
34	159	3
34	854	2
34	90	3
34	856	4
34	857	6
34	858	6
34	323	2
34	140	6
34	21	2
34	89	2
34	859	3
34	785	2
35	85	5
35	53	5
35	861	2
35	430	3
35	102	4
35	81	2
35	99	2
35	1	4
35	138	5
35	42	3
35	4	5
35	46	2
35	22	0
35	241	4
35	3	2
35	363	2
35	112	5
35	268	5
35	663	2
35	272	5
36	291	3
36	179	3
36	82	3
36	92	0
36	190	2
36	25	3
36	97	4
36	29	5
36	13	3
36	10	5
36	50	5
36	31	3
36	87	4
36	159	2
36	23	5
36	15	3
36	3	3
36	91	2
37	259	3
37	227	5
37	864	0
37	670	7
37	691	0
37	865	0
37	866	1
37	867	2
37	868	3
37	869	2
37	28	2
37	871	4
37	664	0
37	408	5
37	598	2
37	261	3
37	363	5
37	136	2
37	0	5
37	380	7
37	18	3
37	14	2
37	876	7
37	111	5
37	23	5
37	878	0
37	693	4
37	827	6
37	375	0
37	609	7
37	243	4
37	646	3
37	33	3
37	882	0
37	30	5
37	265	2
37	272	5
37	127	4
37	462	2
37	285	5
37	835	0
37	19	5
37	196	2
37	656	7
37	135	2
37	159	3
37	884	4
37	93	5
37	576	6
37	610	5
37	614	2
37	113	4
37	885	2
37	886	2
37	887	4
37	888	2
37	337	5
37	889	0
37	95	4
37	694	0
37	890	5
37	652	2
37	892	2
37	86	5
37	338	7
37	893	2
37	894	0
37	895	4
37	896	2
37	2	5
37	122	6
37	898	2
37	899	2
37	900	1
37	147	2
37	902	2
37	63	3
37	445	2
37	851	7
37	520	1
37	904	2
37	307	2
37	7	1
37	430	5
37	303	3
37	905	3
37	321	0
37	906	7
37	8	0
37	323	5
37	907	5
37	908	7
37	119	2
37	909	7
37	17	4
37	107	2
37	657	4
37	21	0
37	653	5
37	600	6
37	912	3
37	660	6
37	913	1
38	68	3
38	914	3
38	23	2
38	94	3
38	190	3
38	13	6
38	30	5
38	541	3
38	31	5
38	3	5
38	14	5
38	5	2
39	54	2
39	278	4
39	186	6
39	68	2
39	18	0
39	5	6
39	636	5
39	915	7
39	165	6
39	642	5
39	24	2
39	27	0
39	184	0
39	15	2
39	659	3
39	9	4
39	91	0
39	13	2
39	917	4
40	84	5
40	920	3
40	270	3
40	13	5
40	921	0
40	11	5
40	159	3
40	923	5
40	3	5
40	50	3
40	924	3
40	30	5
40	6	2
40	194	5
41	925	2
41	81	2
41	926	2
41	159	5
41	927	2
41	50	2
41	339	3
41	400	3
41	10	5
41	924	5
41	112	2
41	21	2
41	17	2
42	89	3
42	168	5
42	87	4
42	929	5
42	13	2
42	57	0
42	278	0
42	930	3
42	24	2
42	931	3
42	932	3
42	5	4
42	159	5
42	77	2
42	50	2
42	23	4
42	933	5
42	0	0
42	14	4
42	81	5
42	270	2
42	190	2
42	94	4
42	3	4
42	186	2
42	934	3
42	292	3
42	30	2
43	936	4
43	937	5
43	943	2
43	944	2
43	945	3
43	946	2
43	549	2
43	947	2
43	883	3
43	948	5
43	196	2
43	545	2
43	492	3
43	241	5
43	951	2
43	529	2
43	953	5
43	955	5
43	45	2
43	423	2
43	956	5
43	957	4
43	194	4
43	958	2
43	959	2
43	960	2
43	20	2
43	962	2
43	964	2
43	225	2
43	966	5
43	99	2
43	968	5
43	187	2
43	969	2
44	970	7
44	972	0
44	179	2
44	18	5
44	974	6
44	13	5
44	82	4
44	975	1
44	15	0
44	49	3
44	976	2
44	978	3
44	979	5
44	980	0
45	159	6
45	5	7
45	29	6
45	94	3
45	27	5
45	23	2
45	3	3
45	175	3
45	54	3
46	179	4
46	30	2
46	23	3
46	159	0
47	196	3
47	982	3
47	117	3
47	270	3
47	21	3
47	257	3
47	11	3
47	6	2
47	50	2
47	24	3
47	119	3
47	23	3
47	344	3
47	304	3
48	6	1
48	270	5
48	190	6
48	11	3
49	17	3
49	50	2
49	23	2
49	430	3
49	8	3
49	92	0
49	6	2
50	983	0
50	436	6
50	255	5
50	57	0
50	81	0
50	3	3
50	14	4
50	77	5
50	29	7
51	373	2
51	985	5
51	725	4
51	987	4
51	988	2
51	989	4
51	990	4
51	991	4
51	884	4
51	992	5
51	743	2
51	994	4
51	996	2
51	998	2
51	934	5
51	912	0
51	459	5
51	636	2
51	68	5
51	1000	2
51	451	2
51	1003	0
51	1004	2
51	257	5
51	1005	5
51	1006	4
51	27	5
51	1010	4
51	6	2
51	1013	4
51	321	5
51	77	3
51	1016	4
51	1017	5
51	1018	5
51	1019	5
51	1020	2
51	1021	5
51	759	2
51	1023	5
51	1024	4
51	1025	5
51	644	5
51	1026	2
51	144	5
51	351	2
51	927	2
51	5	2
51	161	3
51	973	5
51	1027	4
51	1029	4
51	168	2
51	1030	2
51	17	2
51	1031	4
51	1034	4
51	1035	4
51	703	3
51	1036	2
51	1039	4
51	914	2
51	1041	2
51	1042	2
51	1043	0
51	1045	4
51	790	5
51	1047	5
51	1048	0
51	1049	2
51	786	3
51	1050	5
51	1051	2
51	1052	2
51	1053	4
51	59	3
51	1054	5
51	21	5
52	115	6
52	12	6
52	1056	5
52	1058	3
52	657	4
52	1061	3
52	1062	3
52	1064	3
52	31	3
52	349	4
52	1066	3
52	92	2
52	18	3
52	1068	6
52	1069	1
52	93	5
52	1070	2
52	45	2
52	1071	2
52	270	3
52	337	3
52	179	3
52	243	5
52	885	2
52	148	3
52	159	2
52	1072	3
52	16	0
52	120	6
52	1073	0
52	19	3
52	907	2
52	908	3
52	1074	6
52	899	5
52	27	3
52	30	0
52	691	7
52	134	2
52	208	3
52	647	1
52	859	5
52	63	1
52	34	1
52	1077	3
52	17	3
52	610	2
52	896	2
52	70	3
52	911	2
52	1078	3
52	1079	4
52	348	2
52	125	2
52	554	3
52	11	5
52	1080	3
52	2	0
52	20	7
52	139	3
52	77	2
52	470	3
52	91	3
52	117	3
53	92	5
53	24	0
53	0	2
53	13	4
53	179	2
53	91	4
53	82	4
53	5	3
53	194	3
53	21	4
53	6	5
53	50	4
53	270	5
53	190	3
53	15	2
53	23	5
53	68	2
53	48	0
53	164	4
53	196	4
53	87	0
53	11	3
54	1082	3
54	1083	6
54	1084	2
54	1088	3
54	464	5
54	1092	3
54	1093	2
54	173	3
54	270	2
54	202	5
54	17	0
54	411	3
54	261	3
54	1096	2
54	215	5
54	948	3
54	0	6
54	11	3
54	10	3
54	165	0
54	29	2
54	1100	2
54	1101	0
55	11	3
55	14	2
55	159	3
55	3	5
55	1103	0
55	1104	4
56	3	5
56	21	2
56	179	5
56	13	3
56	29	2
56	77	5
57	54	0
57	13	4
57	6	1
57	91	3
57	68	2
57	196	1
57	0	1
57	17	3
57	90	0
58	17	3
58	5	3
58	196	3
58	87	3
58	6	3
58	82	3
58	270	5
58	164	3
58	32	3
58	25	3
58	14	3
58	165	5
58	3	3
58	159	3
58	29	3
58	278	3
58	48	5
58	194	7
58	57	3
58	77	3
58	23	3
58	54	3
58	50	3
58	27	3
59	82	4
59	87	3
59	3	1
59	196	2
59	11	2
59	164	3
59	48	0
59	184	2
59	10	6
59	9	7
59	270	0
59	21	6
59	23	2
59	6	4
59	186	1
59	18	7
59	97	4
59	159	6
59	194	5
59	291	2
59	90	4
59	278	0
60	90	4
60	77	5
60	159	5
60	17	3
60	97	2
60	94	4
60	179	2
60	14	3
60	184	2
60	54	5
60	164	5
60	92	4
60	23	4
60	24	3
60	278	2
60	32	2
60	9	4
60	57	2
60	194	2
61	194	3
61	77	5
61	11	3
61	291	5
61	9	2
61	23	6
61	164	4
61	50	4
62	54	5
62	15	2
62	11	5
62	1105	5
62	27	5
62	23	3
62	175	4
62	79	3
62	90	2
62	48	4
62	18	3
62	194	2
62	21	3
62	57	3
62	1106	7
62	0	3
62	10	3
62	9	5
62	335	1
62	30	3
62	655	3
62	488	5
63	270	4
63	92	2
63	57	4
63	0	6
63	23	2
63	50	4
63	190	2
63	18	5
64	94	3
64	270	2
64	196	5
64	164	3
64	3	3
64	11	5
64	184	5
64	179	5
64	91	3
64	32	2
64	82	3
64	191	5
64	186	2
64	54	3
64	68	3
64	24	5
64	18	5
64	30	3
65	194	3
65	1107	3
65	179	3
65	54	3
65	25	3
65	92	3
65	50	3
65	291	3
65	87	3
65	278	3
65	15	3
65	27	3
65	270	3
65	98	5
65	3	3
65	82	3
65	21	3
65	31	3
65	91	3
65	196	3
65	191	3
65	97	3
65	17	3
65	190	3
66	15	3
66	77	2
66	30	3
66	82	3
66	11	5
66	98	3
66	3	3
66	25	2
66	6	3
67	90	5
67	31	3
67	21	5
67	94	2
67	48	2
67	9	3
67	92	5
67	184	2
67	165	2
67	194	1
67	5	0
67	270	3
68	57	4
68	23	0
68	29	4
68	278	0
68	194	3
68	48	0
68	17	5
69	98	2
69	6	2
69	87	3
69	25	2
69	3	4
69	31	3
69	23	3
69	18	6
70	92	5
70	14	4
70	186	1
70	21	5
70	6	2
71	186	3
71	291	3
71	0	3
71	14	1
71	82	4
71	50	2
71	29	5
71	159	0
71	21	6
71	68	5
71	262	2
71	13	1
71	25	4
71	31	3
71	11	2
71	57	4
71	3	2
71	18	6
71	77	4
71	165	2
71	54	0
71	92	5
71	98	5
72	268	2
72	883	5
72	110	2
72	1108	2
72	323	5
72	1110	2
72	251	2
72	675	4
72	27	2
72	468	5
72	1111	5
72	1112	1
72	132	5
72	1114	0
72	179	3
72	341	4
72	861	5
72	17	5
72	78	3
72	13	3
72	688	5
72	1063	2
72	652	2
72	639	4
72	1116	4
72	1117	2
72	1066	2
72	321	5
72	339	2
73	1118	4
73	1121	7
73	1122	3
73	4	2
73	1123	7
73	1124	6
73	1125	7
73	1126	7
73	1128	5
74	10	0
74	184	2
74	194	5
74	90	2
74	68	5
74	15	2
74	50	5
74	25	4
74	11	3
74	175	7
74	5	2
74	164	2
74	191	4
74	179	5
74	6	5
74	29	7
74	32	0
74	270	3
74	9	3
74	165	4
74	262	4
74	18	5
74	3	5
75	159	3
75	48	4
75	92	2
75	17	0
75	21	3
75	31	3
75	82	2
75	13	3
75	175	2
75	98	4
75	191	4
75	50	0
75	32	0
75	179	2
75	196	5
75	54	5
75	57	5
75	5	2
75	278	0
75	24	3
75	262	5
75	10	5
75	91	3
76	159	2
76	29	2
76	175	4
76	179	2
76	54	2
76	11	3
76	754	3
76	322	3
76	196	5
76	97	1
76	5	0
77	257	3
77	1131	3
77	455	2
77	1132	7
77	17	3
77	1134	0
77	251	5
77	140	6
77	1135	5
77	13	5
77	1136	1
77	477	4
77	70	2
77	270	4
77	19	4
78	902	2
78	1139	4
78	174	2
78	379	2
78	1140	3
78	59	5
78	1141	5
78	629	4
78	1142	4
78	1143	6
78	126	2
78	887	6
78	1144	4
78	1146	4
78	1147	2
78	1148	6
78	1149	4
78	122	7
78	137	4
78	874	6
78	324	5
78	1151	4
78	608	2
78	314	3
78	1105	4
78	185	2
78	1153	2
78	135	5
78	893	2
78	652	4
78	12	0
78	615	4
78	476	2
78	21	0
78	121	2
78	1157	5
78	1158	4
78	1017	2
78	610	4
78	6	7
78	300	5
78	1159	6
78	116	1
78	117	2
78	1160	5
78	1161	4
78	660	6
78	891	5
78	904	2
78	1163	2
78	1164	0
78	884	4
78	131	6
78	1165	0
78	1167	5
78	1168	1
78	45	4
78	183	5
78	128	4
78	912	5
78	871	6
78	753	0
78	293	5
78	868	2
78	2	2
78	266	1
78	1170	4
78	179	4
78	1171	4
78	3	5
78	101	4
78	118	4
78	1174	3
78	454	3
78	1175	6
78	129	2
78	799	3
78	436	3
78	93	4
78	140	0
78	654	2
78	57	4
78	1176	5
78	1177	6
78	1178	4
78	1179	2
78	139	4
78	34	3
78	1180	0
78	130	3
78	80	4
78	102	2
78	1183	1
78	312	4
78	657	4
78	120	2
78	31	2
78	108	4
78	878	2
78	447	2
78	894	1
78	1185	2
78	883	2
78	1186	5
78	898	2
78	924	3
78	164	3
78	110	3
78	242	2
78	1188	2
78	260	5
78	1189	7
78	1191	2
78	49	4
78	1071	3
78	112	5
78	113	0
78	1193	2
78	1194	3
78	1069	4
78	1195	6
78	1196	4
78	114	4
78	863	0
78	132	2
78	1197	0
78	79	3
78	173	5
78	639	2
78	50	5
78	598	6
78	1198	2
78	1199	4
78	882	4
79	639	4
79	1200	7
79	1201	2
79	250	3
79	522	3
79	1203	4
79	1204	2
79	224	5
79	117	2
79	1205	5
79	2	2
79	1206	2
79	1208	2
79	622	0
79	1209	2
79	1210	0
79	1093	4
79	1214	4
79	1215	2
79	1216	0
79	1219	2
79	1222	2
79	1223	2
79	1224	2
79	1225	2
79	141	2
79	1227	5
79	1228	4
79	663	4
79	411	5
79	1229	4
79	1230	4
79	1232	2
79	1233	2
79	311	5
79	75	5
79	1234	5
79	1235	4
79	1237	2
79	1238	0
79	1241	4
79	444	5
79	1242	2
79	1243	2
79	1246	5
79	1247	4
79	1248	2
79	1249	2
79	554	3
79	1251	6
79	1100	4
79	312	5
79	1256	6
79	245	4
79	741	1
79	65	3
79	127	4
79	1257	4
79	1259	0
79	1260	4
79	88	4
79	1262	4
79	1264	0
79	1266	0
79	119	0
79	562	2
79	1176	4
79	1267	2
79	1270	0
79	1271	0
79	62	4
79	1272	3
79	1273	2
79	19	5
79	904	4
79	1275	5
79	1276	6
79	1277	2
79	305	2
79	1283	5
79	1285	0
79	1286	1
79	1287	5
79	494	4
79	1288	3
79	328	2
79	521	4
79	1290	6
79	1293	5
79	284	4
79	1294	2
79	1295	3
79	906	6
79	580	4
79	86	5
79	616	6
79	1299	3
79	1300	6
79	675	2
79	1301	6
79	1302	2
79	1303	2
80	1025	2
80	175	0
80	1304	3
80	98	4
80	9	3
80	24	4
80	21	1
80	23	0
80	11	3
80	90	5
80	15	5
80	291	3
80	27	6
80	165	5
80	32	4
80	94	3
80	186	7
81	1305	3
81	470	3
81	657	3
81	6	1
81	120	3
81	9	4
81	138	3
81	13	6
81	30	2
82	1306	3
82	1069	2
82	1307	6
82	1168	0
82	1309	1
82	473	0
82	1310	3
82	82	3
82	1311	2
82	5	3
82	90	0
82	24	3
82	337	3
82	1063	3
82	92	2
82	1313	5
82	733	3
82	159	3
82	0	5
82	55	3
82	1301	2
82	138	7
82	129	2
82	1316	6
82	3	3
82	1317	0
82	219	2
82	953	3
82	1251	5
82	81	2
82	1318	0
82	1320	1
